NM_CLSSFAM	NM_LSSFAM	NM_CLFAM	NM_LFAM	NM_CLRAY	NM_LRAY	NM_CLSEC	NM_LSEC	NM_CLFIL	NM_LFIL
0105010505	PANIFICATION                  	01050105	PANIFICATION                  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105010598	DIR - PANIFICATION            	01050105	PANIFICATION                  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105010599	PDV - PANIFICATION            	01050105	PANIFICATION                  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011005	CAFES TORREFIES               	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011010	FILTRES                       	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011015	CAFES SOLUBLES ET SPECIALITES 	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011020	CHICOREE                      	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011025	SPECIALITES A BASE DE CHICOREE	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011030	CHICOREE CAFE SOLUBLE         	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011035	AUTRES BOISSONS               	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011098	DIR - CAFE TORREFIE/SOLUBLE   	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011099	PDV - CAFE TORREFIE/SOLUBLE   	01050110	CAFE TORREFIE/SOLUBLE         	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011505	INFUSION                      	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011510	THES                          	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011515	ACCESSOIRES                   	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011598	DIR - THES ET INFUSIONS       	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105011599	PDV - THES ET INFUSIONS       	01050115	THES ET INFUSIONS             	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012005	PETITS DEJEUNERS CHOCOLATES   	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012010	CEREALES PRETES A CONSOMMER   	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012015	CEREALE A CUIRE               	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012098	DIR - CEREALES ET POUDRES CHOC	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012099	PDV - CEREALES ET POUDRES CHOC	01050120	CEREALES ET POUDRES CHOCOLAT  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012505	CONFITURES/GELEE/MARMELADE    	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012510	CREME DE MARRON/PRUNEAU       	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012515	MIEL ET SPECIALITES           	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012520	PATE A TARTINER               	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012598	DIR - CONFITURES/MIEL/P.A.TART	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105012599	PDV - CONFITURES/MIEL/P.A.TART	01050125	CONFITURES/MIEL/P.A.TARTINER  	010501	PETITS DEJEUNERS              	0105	EPICERIE                      	01	ELDPH
0105020505	BISCUITS/GRAINES/EXTRUDES     	01050205	PRODUITS SALES POUR APERITIFS 	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105020510	OLIVES                        	01050205	PRODUITS SALES POUR APERITIFS 	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105020515	SAUCISSE                      	01050205	PRODUITS SALES POUR APERITIFS 	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105020520	SAUCE APERITIF                	01050205	PRODUITS SALES POUR APERITIFS 	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105020525	ANTIPASTI                     	01050205	PRODUITS SALES POUR APERITIFS 	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105020598	DIR - PRODUITS SALES POUR APER	01050205	PRODUITS SALES POUR APERITIFS 	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105020599	PDV - PRODUITS SALES POUR APER	01050205	PRODUITS SALES POUR APERITIFS 	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021005	BISCUITS                      	01050210	BISCUITS SUCRES               	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021010	PATISSERIE                    	01050210	BISCUITS SUCRES               	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021098	DIR - BISCUITS SUCRES         	01050210	BISCUITS SUCRES               	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021099	PDV - BISCUITS SUCRES         	01050210	BISCUITS SUCRES               	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021505	FAMILLE                       	01050215	CHOCOLATS TABLETTES           	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021510	ADULTES                       	01050215	CHOCOLATS TABLETTES           	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021515	ENFANT                        	01050215	CHOCOLATS TABLETTES           	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021545	PATISSIER                     	01050215	CHOCOLATS TABLETTES           	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021598	DIR - CHOCOLATS TABLETTES     	01050215	CHOCOLATS TABLETTES           	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105021599	PDV - CHOCOLATS TABLETTES     	01050215	CHOCOLATS TABLETTES           	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022005	BARRES                        	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022010	BOUCHEES                      	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022015	BILLES                        	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022020	CADEAU                        	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022025	AUTRES                        	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022030	NE PLUS UTILISER (B.CHOCOLAT) 	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022035	NE PLUS UTILISER (CONF)       	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022040	NE PLUS UTILISER (SPECIALITES)	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022045	NE PLUS UTILISER (SPE ENFTS)  	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022050	NE PLUS UTILISER (MOULAGE)    	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022098	DIR - CHOCOLATS SNACKING      	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022099	PDV - CHOCOLATS SNACKING      	01050220	CHOCOLATS SNACKING            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022505	FAMILLE                       	01050225	CONFISERIE                    	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022510	ADULTES                       	01050225	CONFISERIE                    	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022515	ENFANT                        	01050225	CONFISERIE                    	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022525	BAPTEME                       	01050225	CONFISERIE                    	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022598	DIR - CONFISERIE              	01050225	CONFISERIE                    	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105022599	PDV - CONFISERIE              	01050225	CONFISERIE                    	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023005	CHEWING GUM                   	01050230	CONFISERIE CAISSE             	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023010	PETITE CONFISERIE             	01050230	CONFISERIE CAISSE             	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023015	SANTE                         	01050230	CONFISERIE CAISSE             	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023020	CONFISERIE CHOCOLAT           	01050230	CONFISERIE CAISSE             	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023098	DIR - CONFISERIE CAISSE       	01050230	CONFISERIE CAISSE             	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023099	PDV - CONFISERIE CAISSE       	01050230	CONFISERIE CAISSE             	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023505	NE PLUS UTILISER (BISC.)      	01050235	NE PLUS UTILISER (SEL F-ANNEE)	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023510	NE PLUS UTILISER (CHOC)       	01050235	NE PLUS UTILISER (SEL F-ANNEE)	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023515	NE PLUS UTILISER (PROV)       	01050235	NE PLUS UTILISER (SEL F-ANNEE)	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023598	DIR - NE PLUS UTILISER (SEL F-	01050235	NE PLUS UTILISER (SEL F-ANNEE)	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105023599	PDV - NE PLUS UTILISER (SEL F-	01050235	NE PLUS UTILISER (SEL F-ANNEE)	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105024005	MOULAGES                      	01050240	CHOCOLATS A OFFRIR            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105024010	CONFISERIE                    	01050240	CHOCOLATS A OFFRIR            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105024015	SPECIFIQUES ENFANTS           	01050240	CHOCOLATS A OFFRIR            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105024020	BOITES CHOCOLATS / SPECIALITES	01050240	CHOCOLATS A OFFRIR            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105024098	DIR - CHOCOLATS A OFFRIR      	01050240	CHOCOLATS A OFFRIR            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105024099	PDV - CHOCOLATS A OFFRIR      	01050240	CHOCOLATS A OFFRIR            	010502	GRIGNOTAGES                   	0105	EPICERIE                      	01	ELDPH
0105030505	FRUITS SECS                   	01050305	AIDE PATISSERIE               	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105030510	FRUITS CONFITS                	01050305	AIDE PATISSERIE               	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105030515	COMPOSANTS                    	01050305	AIDE PATISSERIE               	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105030520	SUCRES ET LEVURES             	01050305	AIDE PATISSERIE               	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105030525	PATISSERIE A PREPARER         	01050305	AIDE PATISSERIE               	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105030598	DIR - AIDE PATISSERIE         	01050305	AIDE PATISSERIE               	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105030599	PDV - AIDE PATISSERIE         	01050305	AIDE PATISSERIE               	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105031005	FARINE                        	01050310	FARINES ET FECULENTS          	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105031010	A BASE DE FECULENT            	01050310	FARINES ET FECULENTS          	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105031098	DIR - FARINES ET FECULENTS    	01050310	FARINES ET FECULENTS          	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105031099	PDV - FARINES ET FECULENTS    	01050310	FARINES ET FECULENTS          	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105031505	SUCRE                         	01050315	SUCRES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105031510	SIROP D'ERABLE                	01050315	SUCRES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105031598	DIR - SUCRES                  	01050315	SUCRES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105031599	PDV - SUCRES                  	01050315	SUCRES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105032005	HUILES                        	01050320	HUILES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105032098	DIR - HUILES                  	01050320	HUILES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105032099	PDV - HUILES                  	01050320	HUILES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105032505	VINAIGRES                     	01050325	VINAIGRES ET VINAIGRETTES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105032510	VINAIGRETTE                   	01050325	VINAIGRES ET VINAIGRETTES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105032598	DIR - VINAIGRES ET VINAIGRETTE	01050325	VINAIGRES ET VINAIGRETTES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105032599	PDV - VINAIGRES ET VINAIGRETTE	01050325	VINAIGRES ET VINAIGRETTES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033005	SEL BLANC                     	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033010	SELS GRIS                     	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033015	BICARBONATE                   	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033020	NEIGE                         	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033025	PASTILLE                      	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033030	AUTRES                        	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033035	BIOLOGIQUE                    	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033098	DIR - SEL                     	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033099	PDV - SEL                     	01050330	SEL                           	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033505	EPICES                        	01050335	EPICES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033598	DIR - EPICES                  	01050335	EPICES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105033599	PDV - EPICES                  	01050335	EPICES                        	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034005	CONDIMENTS                    	01050340	CONDIMENTS-SAUCES FROIDES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034010	SAUCE FROIDE                  	01050340	CONDIMENTS-SAUCES FROIDES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034090	PRODUITS COLLECTIVITES        	01050340	CONDIMENTS-SAUCES FROIDES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034098	DIR - CONDIMENTS-SAUCES FROIDE	01050340	CONDIMENTS-SAUCES FROIDES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034099	PDV - CONDIMENTS-SAUCES FROIDE	01050340	CONDIMENTS-SAUCES FROIDES     	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034505	AUTRES SAUCES                 	01050345	SAUCES CHAUDES                	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034510	SAUCES TOMATES                	01050345	SAUCES CHAUDES                	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034598	DIR - SAUCES CHAUDES          	01050345	SAUCES CHAUDES                	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105034599	PDV - SAUCES CHAUDES          	01050345	SAUCES CHAUDES                	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105035005	AIDES A LA CUISINE            	01050350	AIDES A LA CUISINE            	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105035098	DIR - AIDES A LA CUISINE      	01050350	AIDES A LA CUISINE            	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105035099	PDV - AIDES A LA CUISINE      	01050350	AIDES A LA CUISINE            	010503	AIDES CULINAIRES              	0105	EPICERIE                      	01	ELDPH
0105041005	SEMOULE COUSCOUS              	01050410	COUSCOUS PUREE LEG SECS BLE   	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041010	BLE                           	01050410	COUSCOUS PUREE LEG SECS BLE   	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041020	PUREE                         	01050410	COUSCOUS PUREE LEG SECS BLE   	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041025	LEGUMES SECS                  	01050410	COUSCOUS PUREE LEG SECS BLE   	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041098	DIR - COUSCOUS PUREE LEG SECS 	01050410	COUSCOUS PUREE LEG SECS BLE   	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041099	PDV - COUSCOUS PUREE LEG SECS 	01050410	COUSCOUS PUREE LEG SECS BLE   	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041505	LONG                          	01050415	RIZ                           	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041510	ROND                          	01050415	RIZ                           	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041515	CUISINER                      	01050415	RIZ                           	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041598	DIR - RIZ                     	01050415	RIZ                           	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105041599	PDV - RIZ                     	01050415	RIZ                           	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105042005	LES CLASSIQUES                	01050420	PATES                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105042010	AUX OEUFS                     	01050420	PATES                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105042015	LES FANTAISIES                	01050420	PATES                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105042020	LES SANTE                     	01050420	PATES                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105042025	PATES A POTAGES               	01050420	PATES                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105042098	DIR - PATES                   	01050420	PATES                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105042099	PDV - PATES                   	01050420	PATES                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105043005	CHIPS                         	01050430	CHIPS                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105043098	DIR - CHIPS                   	01050430	CHIPS                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105043099	PDV - CHIPS                   	01050430	CHIPS                         	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105043505	CONSERVES DE LEGUMES          	01050435	CONSERVES DE LEGUMES          	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105043510	HORS D'OEUVRE DE LEGUMES      	01050435	CONSERVES DE LEGUMES          	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105043590	PRODUITS COLLECTIVITES        	01050435	CONSERVES DE LEGUMES          	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105043598	DIR - CONSERVES DE LEGUMES    	01050435	CONSERVES DE LEGUMES          	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105043599	PDV - CONSERVES DE LEGUMES    	01050435	CONSERVES DE LEGUMES          	010504	PLATS ACCOMPAGNEMENT          	0105	EPICERIE                      	01	ELDPH
0105050505	CONSERVES DE VIANDES          	01050505	CONSERVES DE VIANDES          	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105050590	PRODUITS COLLECTIVITES        	01050505	CONSERVES DE VIANDES          	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105050598	DIR - CONSERVES DE VIANDES    	01050505	CONSERVES DE VIANDES          	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105050599	PDV - CONSERVES DE VIANDES    	01050505	CONSERVES DE VIANDES          	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051005	CONSERVES DE POISSONS         	01050510	CONSERVES DE POISSON          	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051090	PRODUITS COLLECTIVITES        	01050510	CONSERVES DE POISSON          	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051098	DIR - CONSERVES DE POISSON    	01050510	CONSERVES DE POISSON          	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051099	PDV - CONSERVES DE POISSON    	01050510	CONSERVES DE POISSON          	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051505	PLATS CUISINES EXOTIQUES      	01050515	PLATS CUISINES                	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051510	PLATS CUISINES FRANCAIS       	01050515	PLATS CUISINES                	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051515	PLATS CUISINES ITALIENS       	01050515	PLATS CUISINES                	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051520	PLATS DESHYDRATES             	01050515	PLATS CUISINES                	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051590	PRODUITS COLLECTIVITES        	01050515	PLATS CUISINES                	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051598	DIR - PLATS CUISINES          	01050515	PLATS CUISINES                	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105051599	PDV - PLATS CUISINES          	01050515	PLATS CUISINES                	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105052015	POTAGES                       	01050520	POTAGES                       	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105052098	DIR - POTAGES                 	01050520	POTAGES                       	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105052099	PDV - POTAGES                 	01050520	POTAGES                       	010505	PLAT PRET EMPLOI              	0105	EPICERIE                      	01	ELDPH
0105060505	FRUITS AU SIROP               	01050605	FRUITS AU SIROP               	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105060590	PRODUITS COLLECTIVITES        	01050605	FRUITS AU SIROP               	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105060598	DIR - FRUITS AU SIROP         	01050605	FRUITS AU SIROP               	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105060599	PDV - FRUITS AU SIROP         	01050605	FRUITS AU SIROP               	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105061005	DESSERT                       	01050610	DESSERTS TOUT PRETS           	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105061010	COMPOTE INDIVIDUELLE          	01050610	DESSERTS TOUT PRETS           	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105061015	COMPOTE F AMILLIALE           	01050610	DESSERTS TOUT PRETS           	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105061098	DIR - DESSERTS TOUT PRETS     	01050610	DESSERTS TOUT PRETS           	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105061099	PDV - DESSERTS TOUT PRETS     	01050610	DESSERTS TOUT PRETS           	010506	DESSERTS                      	0105	EPICERIE                      	01	ELDPH
0105070505	REPAS                         	01050705	ALIMENTS POUR ENFANTS         	010507	SPECIFIQUES                   	0105	EPICERIE                      	01	ELDPH
0105070510	PETIT DEJEUNER                	01050705	ALIMENTS POUR ENFANTS         	010507	SPECIFIQUES                   	0105	EPICERIE                      	01	ELDPH
0105070520	LAIT                          	01050705	ALIMENTS POUR ENFANTS         	010507	SPECIFIQUES                   	0105	EPICERIE                      	01	ELDPH
0105070598	DIR - ALIMENTS POUR ENFANTS   	01050705	ALIMENTS POUR ENFANTS         	010507	SPECIFIQUES                   	0105	EPICERIE                      	01	ELDPH
0105070599	PDV - ALIMENTS POUR ENFANTS   	01050705	ALIMENTS POUR ENFANTS         	010507	SPECIFIQUES                   	0105	EPICERIE                      	01	ELDPH
0105071005	AMERICAIN                     	01050710	PRODUITS ETRANGERS            	010507	SPECIFIQUES                   	0105	EPICERIE                      	01	ELDPH
0105071010	ASIATIQUE                     	01050710	PRODUITS ETRANGERS            	010507	SPECIFIQUES                   	0105	EPICERIE                      	01	ELDPH
