0000115652;20160221;0859;0000000000;71;8412276046064;(MT)SUCRINE BQ .                                  ;     1.000;      1.99;01;02;                    ;000000;01;001;000;00;                    ;  0.00;      0.00;000;                                                  ;01;     1.000;      1.45;8412276046064            ;
0000115652;20160221;0859;0000000000;00;STOTAL       ;SOUS-TOTAL                                        ;     0.000;      1.99;01;02;                    ;000000;00;002;000;00;                    ;  0.00;      0.00;000;                                                  ;00;     1.000;      0.00;                         ;
0000115652;20160221;0859;0000000000;00;GDTOTAL      ;TOTAL                                             ;     0.000;      1.99;01;02;                    ;000000;00;003;000;00;                    ;  0.00;      0.00;004;                                                  ;00;     1.000;      0.00;                         ;
0000115652;20160221;0859;0000000000;00;F22          ;ESPECES                                           ;     0.000;      2.00;01;02;                    ;000000;00;004;000;00;                    ;  0.00;      0.00;022;                                                  ;00;     1.000;      0.00;                         ;
0000115652;20160221;0859;0000000000;00;             ;RENDU MONNAIE (Eur)                               ;     0.000;     -0.01;01;02;                    ;000000;00;005;000;00;                    ;  0.00;      0.00;022;                                                  ;00;     1.000;      0.00;                         ;
0000115652;20160221;0859;0000000000;00;TAXABLE1     ;TAXABLE 5.5%                                      ;     0.000;      1.99;01;02;                    ;000000;00;007;000;00;                    ;  0.00;      0.00;077;                                                  ;00;     0.000;      0.00;                         ;
0000115652;20160221;0859;0000000000;00;TVA1         ;TVA 5.5%                                          ;     0.000;      0.10;01;02;                    ;000000;00;008;000;00;                    ;  0.00;      0.00;078;                                                  ;00;     0.000;      0.00;                         ;
0000115652;20160221;0859;0000000000;00;TOTVA        ;TOTAL TVA                                         ;     0.000;      0.10;01;02;                    ;000000;00;027;000;00;                    ;  0.00;      0.00;085;                                                  ;00;     0.000;      0.00;                         ;
0000115653;20160221;0859;0000000000;41;3523230028431;200G SAINTE MAURE SOIGNON                         ;     1.000;      2.17;01;02;                    ;000000;01;001;000;00;                    ;  0.00;      0.00;000;                                                  ;01;     1.000;      1.59;3523230028431            ;
0000115653;20160221;0859;0000000000;41;3329770055339;480G CR FRAICH EPAIS 30% YOPLA                    ;     1.000;      1.92;01;02;                    ;000000;01;002;000;00;                    ;  0.00;      0.00;000;                                                  ;01;     1.000;      1.26;3329770055339            ;
0000115653;20160221;0859;0000000000;41;3256224234456;1L BK LAIT ENTIER UHT                             ;     1.000;      1.15;01;02;                    ;000000;01;003;000;00;                    ;  0.00;      0.00;000;                                                  ;01;     1.000;      0.69;3256224234456            ;
0000115653;20160221;0859;0000000000;41;3256222622309;1L LAIT FRAIS PAST.ENTIER                         ;     1.000;      1.27;01;02;                    ;000000;01;004;000;00;                    ;  0.00;      0.00;000;                                                  ;01;     1.000;      0.84;3256222622309            ;
0000115653;20160221;0859;0000000000;00;STOTAL       ;SOUS-TOTAL                                        ;     0.000;      6.51;01;02;                    ;000000;00;005;000;00;                    ;  0.00;      0.00;000;                                                  ;00;     1.000;      0.00;                         ;
0000115653;20160221;0859;0000000000;00;GDTOTAL      ;TOTAL                                             ;     0.000;      6.51;01;02;                    ;000000;00;006;000;00;                    ;  0.00;      0.00;004;                                                  ;00;     1.000;      0.00;                         ;
0000115653;20160221;0859;0000000000;00;F22          ;ESPECES                                           ;     0.000;     20.00;01;02;                    ;000000;00;007;000;00;                    ;  0.00;      0.00;022;                                                  ;00;     1.000;      0.00;                         ;
0000115653;20160221;0859;0000000000;00;             ;RENDU MONNAIE (Eur)                               ;     0.000;    -13.49;01;02;                    ;000000;00;008;000;00;                    ;  0.00;      0.00;022;                                                  ;00;     1.000;      0.00;                         ;
0000115653;20160221;0859;0000000000;00;TAXABLE1     ;TAXABLE 5.5%                                      ;     0.000;      6.51;01;02;                    ;000000;00;010;000;00;                    ;  0.00;      0.00;077;                                                  ;00;     0.000;      0.00;                         ;
